iter	RMSE
0	28.20496301
1	27.10837101
2	26.04042927
3	25.03048132
4	24.10277918
5	23.1982567
6	22.32153811
7	21.53811725
8	20.75096657
9	20.05468734
10	19.3516502
11	18.66597054
12	17.99729274
13	17.36242195
14	16.76637021
15	16.22378666
16	15.71154076
17	15.23340165
18	14.75850949
19	14.27891813
20	13.86688822
21	13.47223471
22	13.06022793
23	12.71836913
24	12.32171154
25	11.97833176
26	11.6650821
27	11.34911928
28	11.03956396
29	10.75306728
30	10.48185292
31	10.21775539
32	9.954722498
33	9.70881375
34	9.520354401
35	9.303029286
36	9.113391339
37	8.913100073
38	8.725838513
39	8.549249092
40	8.390398193
41	8.234820052
42	8.075027826
43	7.916175823
44	7.767726429
45	7.625063324
46	7.506044406
47	7.383899288
48	7.254602811
49	7.148984815
50	7.053729994
51	6.947282453
52	6.841187509
53	6.750891588
54	6.647819806
55	6.555609475
56	6.471951962
57	6.39612261
58	6.329356038
59	6.246263392
60	6.177113336
61	6.098702502
62	6.037267562
63	5.977198163
64	5.912691569
65	5.850957851
66	5.79439525
67	5.739716828
68	5.690914019
69	5.642998757
70	5.593300507
71	5.546111062
72	5.503647991
73	5.459060252
74	5.415516878
75	5.386244805
76	5.34825135
77	5.302369173
78	5.259385262
79	5.220735118
80	5.185319356
81	5.155101824
82	5.116918162
83	5.086956175
84	5.056782307
85	5.032020763
86	4.996458176
87	4.975478104
88	4.94593827
89	4.92370024
90	4.904350035
91	4.883285412
92	4.857356907
93	4.83587817
94	4.810595344
95	4.794735071
96	4.769135143
97	4.737775471
98	4.710077844
99	4.68291047
100	4.662946988
101	4.645208672
102	4.631576331
103	4.605039815
104	4.582150281
105	4.558196184
106	4.538315711
107	4.522731383
108	4.496951339
109	4.474015357
110	4.4530536
111	4.433283736
112	4.414591809
113	4.403958062
114	4.381375032
115	4.372583474
116	4.359140598
117	4.340738981
118	4.322351412
119	4.297051802
120	4.278601332
121	4.256644384
122	4.247901224
123	4.231912716
124	4.216027074
125	4.201507887
126	4.182853219
127	4.165966196
128	4.158476284
129	4.142199316
130	4.128928212
131	4.117865028
132	4.101749963
133	4.090437269
134	4.080459864
135	4.062662086
136	4.050191118
137	4.02828042
138	4.017679601
139	4.003683182
140	3.985099719
141	3.971969069
142	3.964242092
143	3.955246543
144	3.941126593
145	3.935650152
146	3.920717172
147	3.906032411
148	3.893469497
149	3.88270123
150	3.872055748
151	3.861237195
152	3.845802678
153	3.838195534
154	3.826677498
155	3.811677606
156	3.80184553
157	3.793815764
158	3.785722595
159	3.769665599
160	3.758750998
161	3.743865609
162	3.736126913
163	3.729250658
164	3.718347873
165	3.702400296
166	3.689520483
167	3.678854352
168	3.671556001
169	3.663537527
170	3.653312103
171	3.640348807
172	3.628238609
173	3.619085696
174	3.607668437
175	3.595973682
176	3.583530121
177	3.572781842
178	3.56083557
179	3.554184199
180	3.54508659
181	3.53804283
182	3.524081124
183	3.511478215
184	3.497966467
185	3.490781865
186	3.4841974
187	3.476212898
188	3.463665009
189	3.452317358
190	3.444222823
191	3.434271306
192	3.428025856
193	3.419792137
194	3.409919436
195	3.399179598
196	3.389975379
197	3.37648631
198	3.369478737
199	3.358064838
200	3.348434113
201	3.33978961
202	3.333026034
203	3.326223203
204	3.319670895
205	3.309228468
206	3.303656215
207	3.293920992
208	3.285073594
209	3.274520197
210	3.264595279
211	3.257614294
212	3.251107453
213	3.240042232
214	3.233447401
215	3.226527552
216	3.216209691
217	3.209966505
218	3.202053678
219	3.192135973
220	3.186115033
221	3.17711216
222	3.17302425
223	3.166172621
224	3.157232707
225	3.149092107
226	3.14416856
227	3.132905761
228	3.126978836
229	3.114767385
230	3.106668079
231	3.099503974
232	3.089322114
233	3.082678219
234	3.074660548
235	3.06414463
236	3.058116874
237	3.051112895
238	3.040815632
239	3.033660953
240	3.025224013
241	3.019194079
242	3.013384944
243	3.00657002
244	2.996630363
245	2.988521377
