iter	Passed	Remaining
0	126	62952
1	129	32124
2	130	21622
3	132	16428
4	133	13252
5	135	11131
6	136	9614
7	137	8477
8	139	7626
9	141	6940
10	145	6456
11	146	5977
12	148	5574
13	150	5233
14	152	4940
15	154	4685
16	156	4450
17	159	4261
18	161	4080
19	162	3911
20	164	3751
21	165	3604
22	167	3479
23	170	3374
24	171	3262
25	173	3165
26	176	3089
27	178	3002
28	179	2920
29	181	2843
30	183	2768
31	185	2709
32	187	2652
33	190	2604
34	192	2555
35	194	2501
36	195	2451
37	197	2404
38	199	2363
39	201	2319
40	203	2280
41	206	2250
42	208	2214
43	210	2177
44	211	2141
45	213	2111
46	216	2081
47	218	2053
48	219	2023
49	222	2005
50	224	1974
51	225	1944
52	227	1915
53	229	1891
54	230	1867
55	232	1841
56	233	1816
57	235	1790
58	236	1767
59	239	1755
60	241	1737
61	243	1722
62	245	1704
63	247	1683
64	248	1662
65	249	1642
66	251	1623
67	254	1616
68	256	1601
69	257	1584
70	259	1566
71	260	1549
72	261	1532
73	263	1515
74	264	1500
75	266	1484
76	267	1471
77	270	1464
78	272	1450
79	273	1436
80	274	1421
81	276	1408
82	277	1394
83	278	1381
84	280	1368
85	281	1355
86	283	1348
87	287	1343
88	288	1332
89	289	1320
90	291	1309
91	292	1297
92	293	1286
93	295	1275
94	296	1264
95	298	1256
96	299	1245
97	302	1241
98	304	1231
99	305	1221
100	306	1211
101	308	1202
102	309	1193
103	310	1183
104	312	1175
105	314	1168
106	316	1160
107	319	1159
108	322	1155
109	323	1148
110	325	1140
111	326	1132
112	328	1124
113	329	1117
114	331	1110
115	334	1107
116	336	1100
117	338	1095
118	340	1091
119	343	1087
120	345	1081
121	346	1073
122	347	1066
123	350	1063
124	352	1056
125	353	1049
126	354	1042
127	356	1035
128	361	1038
129	363	1035
130	366	1033
131	370	1031
132	372	1026
133	375	1025
134	377	1021
135	379	1016
136	382	1014
137	387	1016
138	389	1012
139	391	1006
140	392	1000
141	394	994
142	395	987
143	398	984
144	400	979
145	401	973
146	403	967
147	404	962
148	405	956
149	407	950
150	408	944
151	409	938
152	411	932
153	412	927
154	415	924
155	416	919
156	419	915
157	421	911
158	422	907
159	424	902
160	425	896
161	427	891
162	428	886
163	431	883
164	432	878
165	434	874
166	435	869
167	437	864
168	438	859
169	440	854
170	441	849
171	442	844
172	444	839
173	446	837
174	448	833
175	450	828
176	451	824
177	452	819
178	454	814
179	455	810
180	457	805
181	458	801
182	459	796
183	462	794
184	465	792
185	466	787
186	468	783
187	469	779
188	470	774
189	472	770
190	473	765
191	474	761
192	476	757
193	478	755
194	537	840
195	541	839
196	545	839
197	547	835
198	564	854
199	566	849
200	568	845
201	569	840
202	571	836
203	573	831
204	574	827
205	577	824
206	579	819
207	580	814
208	581	810
209	583	805
210	584	800
211	585	796
212	587	791
213	588	787
214	590	782
215	592	779
216	594	775
217	595	770
218	597	766
219	598	761
220	600	757
221	601	753
222	602	748
223	604	744
224	605	740
225	607	736
226	609	733
227	611	728
228	612	724
229	613	720
230	615	716
231	616	712
232	617	708
233	619	704
234	620	699
235	622	695
236	624	692
237	626	689
238	627	685
239	629	681
240	630	677
241	631	673
242	633	669
243	634	665
244	636	662
245	637	658
246	638	654
247	641	651
248	643	648
249	644	644
250	645	640
251	649	638
252	651	635
253	653	632
254	654	628
255	657	626
256	658	622
257	660	619
258	661	615
259	663	612
260	664	608
261	665	604
262	667	601
263	668	597
264	670	594
265	672	591
266	674	588
267	675	585
268	677	581
269	679	578
270	681	576
271	683	572
272	684	569
273	685	565
274	687	562
275	689	559
276	691	556
277	693	553
278	694	550
279	696	546
280	697	543
281	698	540
282	700	536
283	701	533
284	702	530
285	705	527
286	707	524
287	708	521
288	710	518
289	711	515
290	713	512
291	714	509
292	716	505
293	717	502
294	718	499
295	721	497
296	723	494
297	724	491
298	725	487
299	727	484
300	728	481
301	729	478
302	731	475
303	732	472
304	733	469
305	736	466
306	739	464
307	741	462
308	743	459
309	744	456
310	745	453
311	747	450
312	748	447
313	750	444
314	753	442
315	756	440
316	758	437
317	759	434
318	761	431
319	762	428
320	763	425
321	765	422
322	766	420
323	769	418
324	771	415
325	772	412
326	773	409
327	775	406
328	776	403
329	778	400
330	779	397
331	780	395
332	782	392
333	784	390
334	786	387
335	787	384
336	789	381
337	790	378
338	792	376
339	793	373
340	794	370
341	796	367
342	797	365
343	800	363
344	802	360
345	803	357
346	804	354
347	806	352
348	807	349
349	808	346
350	810	343
351	811	341
352	813	338
353	814	336
354	817	333
355	818	331
356	820	328
357	821	325
358	822	323
359	824	320
360	825	317
361	826	315
362	828	312
363	829	310
364	832	307
365	834	305
366	835	302
367	836	300
368	838	297
369	839	295
370	841	292
371	842	289
372	843	287
373	845	284
374	846	282
375	849	280
376	850	277
377	852	274
378	853	272
379	854	269
380	856	267
381	857	264
382	860	262
383	862	260
384	865	258
385	866	255
386	868	253
387	869	251
388	870	248
389	872	246
390	874	243
391	876	241
392	878	239
393	881	237
394	882	234
395	884	232
396	885	229
397	887	227
398	888	225
399	890	222
400	891	220
401	893	217
402	894	215
403	897	213
404	898	210
405	900	208
406	901	205
407	902	203
408	904	201
409	905	198
410	907	196
411	908	194
412	909	191
413	912	189
414	913	187
415	915	184
416	916	182
417	918	180
418	919	177
419	920	175
420	922	173
421	924	170
422	925	168
423	929	166
424	931	164
425	933	162
426	934	159
427	936	157
428	937	155
429	939	152
430	940	150
431	941	148
432	944	146
433	946	143
434	947	141
435	949	139
436	950	137
437	952	134
438	953	132
439	955	130
440	956	127
441	957	125
442	960	123
443	961	121
444	963	119
445	964	116
446	966	114
447	967	112
448	969	110
449	970	107
450	971	105
451	973	103
452	974	101
453	977	99
454	978	96
455	980	94
456	981	92
457	983	90
458	984	87
459	985	85
460	987	83
461	988	81
462	990	79
463	993	77
464	994	74
465	996	72
466	997	70
467	999	68
468	1000	66
469	1001	63
470	1003	61
471	1004	59
472	1006	57
473	1009	55
474	1010	53
475	1011	51
476	1013	48
477	1014	46
478	1016	44
479	1017	42
480	1018	40
481	1020	38
482	1021	35
483	1024	33
484	1026	31
485	1027	29
486	1028	27
487	1030	25
488	1031	23
489	1033	21
490	1034	18
491	1035	16
492	1037	14
493	1038	12
494	1041	10
495	1042	8
496	1044	6
497	1045	4
498	1047	2
499	1048	0
